customer_id,snapshot_year,exposure_at_default,recovered_amount,annual_income,credit_score_internal,rating_grade,default_flag,batch_run_date,recovery_rate,lgd,log_ead,log_income,score_bin,segment_type,loan_size_bucket,loan_purpose,collateral_type,loan_term,payment_history,default_history,recovery_type
2,2023,59238.11,27774.77,78429.65,674,7,0,2024-01-17,0.2,0.12,10.461589,11.886873,4,Retail,1,investment,vehicle,24,0,4,partial
5,2024,99936.0,9490.77,141096.08,353,5,1,2024-03-06,0.07,0.23,10.414577,12.110438,4,Retail,0,renovation,vehicle,36,0,1,partial
8,2023,56024.85,29109.16,80708.04,575,7,0,2024-02-05,0.77,0.9,10.128591,11.90257,4,Corporate,2,business,none,12,3,2,partial
9,2023,47847.8,10222.03,52327.96,634,2,0,2024-03-14,0.25,0.18,11.02319,12.179624,4,Corporate,0,consumption,vehicle,24,3,2,partial
11,2023,31972.63,25985.21,70643.11,330,4,0,2024-01-07,0.61,0.68,11.409132,11.808826,4,Corporate,2,business,vehicle,60,2,3,partial
18,2024,12931.74,3702.11,102363.56,434,2,1,2024-01-16,0.69,0.53,10.354632,12.172723,0,Corporate,3,renovation,vehicle,60,4,3,partial
23,2023,73371.34,30274.13,105569.45,357,2,1,2024-01-14,0.47,0.08,9.877335,10.788733,1,Corporate,1,renovation,property,12,2,4,partial
48,2023,20067.3,25839.5,160940.04,404,6,0,2024-03-20,0.88,0.29,11.338812,10.290347,3,Retail,0,consumption,vehicle,24,4,0,partial
52,2023,12412.92,37008.07,155027.58,565,3,0,2024-01-25,0.44,0.52,11.217716,11.729999,3,Corporate,0,consumption,vehicle,12,4,1,partial
67,2024,42754.5,31535.02,102227.2,821,1,0,2024-04-14,0.28,0.85,11.442008,12.19111,0,Retail,1,investment,vehicle,24,0,4,partial
82,2023,79738.84,27480.31,172220.12,795,5,0,2024-01-04,0.9,0.71,9.763504,11.463419,0,Corporate,0,business,none,24,4,2,partial
88,2023,74761.39,34488.94,40562.68,552,4,0,2024-06-05,0.86,0.62,9.634423,10.971104,4,Retail,0,investment,property,12,1,2,partial
95,2023,6433.38,7197.1,65963.6,594,2,1,2024-05-06,0.16,0.5,10.907835,11.642887,1,Retail,0,investment,property,48,4,2,partial
96,2023,46059.22,29767.98,169035.76,457,5,1,2024-02-25,0.03,0.3,11.032143,11.826164,3,Corporate,3,business,vehicle,36,0,1,partial
104,2024,52721.02,8605.53,88038.93,848,2,0,2024-01-06,0.09,0.12,10.790106,11.248089,2,Retail,0,renovation,vehicle,36,2,4,partial
113,2023,64810.12,46276.11,196612.68,366,6,0,2024-05-08,0.29,0.41,11.007066,11.909414,0,Retail,3,business,none,36,4,1,partial
117,2024,65366.57,3416.71,103925.59,598,1,0,2024-06-15,0.97,0.03,9.844724,12.183426,2,Retail,1,renovation,vehicle,12,1,2,partial
124,2024,37105.03,21518.74,162548.41,762,6,1,2024-05-08,0.56,0.21,10.788964,12.108759,3,Retail,3,investment,none,24,3,3,partial
126,2024,56507.04,34789.87,92415.27,400,5,1,2024-04-24,0.37,0.43,11.099713,11.191154,0,Retail,0,renovation,vehicle,24,2,4,partial
128,2023,48625.13,22901.11,96491.63,355,4,0,2024-02-26,0.89,0.42,10.688278,11.274811,3,Retail,0,renovation,none,60,3,3,partial
135,2024,88614.84,4604.76,88918.97,631,2,0,2024-03-05,0.45,0.04,11.131171,11.372265,0,Corporate,0,renovation,property,24,1,4,partial
136,2023,53496.25,27668.95,149433.61,692,1,0,2024-03-05,0.32,0.59,10.729174,11.41884,3,Retail,3,business,vehicle,48,0,2,partial
147,2024,44662.18,32081.6,118553.22,680,6,0,2024-04-12,0.94,0.55,10.43492,10.54688,2,Corporate,2,renovation,none,36,0,3,partial
149,2024,41044.06,35189.62,189880.06,391,5,1,2024-01-21,0.85,0.08,10.343608,11.964983,1,Retail,2,business,none,48,2,3,partial
